station_name_cleaned,num_trips
Decatur Ave & Bedford Park Blvd,1353
Decatur Ave & E 197 St,675
Decatur Ave & Oliver Pl,349
Degraw St & Hoyt St,40222
Degraw St & Smith St,61571
DeKalb Ave & Franklin Ave,37842
DeKalb Ave & Hudson Ave,159896
DeKalb Ave & S Portland Ave,123034
DeKalb Ave & Skillman St,33402
DeKalb Ave & Vanderbilt Ave,133807
Delancey St & Eldridge St,44025
Devoe St & Leonard St,8694
Devoe St & Lorimer St,76801
Devoe St & Morgan Ave,15021
Ditmars Ave & 43 St,1737
Ditmars Blvd & 19 St,35198
Ditmars Blvd & 43 St,2961
Ditmars Blvd & 48 St,1795
Ditmars Blvd & 73 St,1259
Ditmars Blvd & 76 St,1414
Ditmars Blvd & 79 St,2319
Division Av & Hooper St,9784
Division Ave & Hooper St,36439
Division Ave & Marcy Ave,23700
Division St & Bowery,233415
Division St & Bowery (old),2556
Dock 72 Way & Market St,24356
Dock St & Front St,14176
Douglass St & 3 Ave,67413
Douglass St & 4 Ave,61723
Driggs Ave & Lorimer St,80911
Driggs Ave & N 9 St,95684
Driggs Ave & N Henry St,96508
Duane St & Greenwich St,170090
Duane St & Hudson St,947
Duffield St & Willoughby St,122451
Dwight St & Van Dyke St,14949
Dyckman St & 10 Ave,1374
Dyckman St & Henshaw St,3833
Dyckman St & Staff St,5937
E 1 St & 1 Ave,44528
E 10 St & 2 Ave,170
E 10 St & 5 Ave,231111
E 10 St & Avenue A,501741
E 102 St & 1 Ave,105217
E 102 St & Park Ave,47888
E 103 St & Lexington Ave,60354
E 106 St & 1 Ave,45076
E 106 St & Lexington Ave,44144
E 106 St & Madison Ave,48343
E 109 St & 3 Ave,46828
E 11 St & 1 Ave,395061
E 11 St & 2 Ave,389482
E 11 St & 3 Ave,40791
E 11 St & Avenue B,132307
E 11 St & Broadway,153803
E 110 St & Madison Ave,95370
E 114 St & 1 Ave,35587
E 115 St & Lexington Ave,41688
E 115 St & Madison Ave,28882
E 116 St & 2 Ave,28792
E 118 St & 1 Ave,37741
E 118 St & 3 Ave,40806
E 118 St & Madison Ave,33607
E 118 St & Park Ave,18710
E 12 St & 3 Ave,387797
E 12 St & 4 Av,32290
E 12 St & Ave C,30420
E 12 St & Avenue B,46345
E 123 St & Lexington Ave,26701
E 128 St & 3 Ave,2379
E 128 St & Madison Ave,25068
E 13 St & 2 Ave,70588
E 13 St & Avenue A,510178
E 132 St & Madison Ave,13213
E 133 St & Cypress Pl,1056
E 134 St & Walnut Ave,1767
E 135 St & St Ann's Ave,3461
E 138 St & 5 Av,12417
E 138 St & Canal St W,4057
E 138 St & Cypress Ave,3538
E 138 St & Grand Concourse,3540
E 138 St & Willow Ave,2595
E 14 St & 1 Ave,1247
E 14 St & Avenue B,217880
E 141 St & Jackson Ave,2433
E 141 St & St Ann's Ave,4208
E 142 St & 3 Ave,4872
E 144 St & Brook Ave,2633
E 147 St & Bergen Ave,4757
E 149 St & Eagle Ave,3324
E 149 St & Jackson Ave,6222
E 149 St & Morris Ave,11437
E 149 St & Park Ave,3854
E 15 St & 3 Ave,434486
E 150 St & Gerard Ave,4766
E 153 St & E 157 St,2958
E 155 St & Courtlandt Ave,2240
E 156 & Brook Ave,5339
E 157 St & River Ave,4771
E 158 St & Melrose Ave,3113
E 16 St & 5 Ave,451460
E 16 St & Irving Pl,293614
E 160 St & Tinton Ave,1708
E 161 St & Park Ave,3991
E 161 St & River Ave,15366
E 163 St & Tiffany St,1935
E 163 St & Union Ave,2338
E 165 St & Clay Ave,2959
E 165 St & Fox St,1034
E 165 St & Jerome Ave,2251
E 167 St & Bryant Ave,1396
E 167 St & Clay Ave,2901
E 167 St & Franklin Ave,1482
E 169 St & Fox St,1201
E 169 St & Webster Ave,4299
E 17 St & Broadway,875171
E 170 St & Clay Ave,1725
E 170 St & Sheridan Ave,1568
E 170 St & Webster Ave,3594
E 170 St & Webster Ave_old,46
E 171 St & 3 Ave,2241
E 171 St & Webster Ave,2222
E 174 St & Longfellow Ave,2602
E 174 St & Walton Ave,2031
E 188 St & Creston Ave,2423
E 19 St & 3 Ave,318907
E 2 St & 2 Ave,315003
E 2 St & 2 Ave E,3336
E 2 St & Avenue A,200962
E 2 St & Avenue B,387564
E 2 St & Avenue C,254467
E 20 St & 2 Ave,437117
E 20 St & FDR Drive,351350
E 20 St & Park Ave,367184
E 201 St & Briggs Ave,730
E 23 St & 1 Ave,409786
E 24 St & Park Ave S,348781
E 25 St & 1 Ave,297821
E 25 St & 2 Ave,444471
E 27 St & 1 Ave,328972
E 27 St & Park Ave S,30875
E 3 St & 1 Ave,208285
E 3 St & Church Ave,2615
E 30 St & Park Ave S,338197
E 31 St & 3 Ave,409853
E 32 St & Park Ave,476361
E 33 St & 1 Ave,296710
E 33 St & 2 Ave,188226
E 33 St & 5 Ave,360540
E 35 St & 3 Ave,69131
E 37 St & Lexington Ave,56797
E 39 St & 2 Ave,410206
E 39 St & 3 Ave,300596
E 39 St & Lexington Ave,72075
E 4 St & 2 Ave,362469
E 4 St & Ave B,896
E 40 St & 5 Ave,203180
E 40 St & Madison Ave,6945
E 40 St & Park Ave,18177
E 41 St & 5 Ave,12077
E 41 St & Madison Ave,208135
E 41 St & Madison Ave (SE corner),7791
E 41 St & Madison Ave (SW corner),8070
E 42 St & Vanderbilt Ave,56308
E 43 St & 2 Ave,121057
E 43 St & 5 Ave,91679
E 43 St & Vanderbilt Ave,129217
E 44 St & 2 Ave,73013
E 44 St & Lexington Ave,35252
